@relation NoLatd5_sum

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data
5,6,59,0,6,2,38,10,0,0,0,5,2,19,70,0,0,0,0,1,0,0,0,2,3,16,N
3,8,64,0,7,3,39,11,0,3,0,6,3,22,78,0,0,1,0,1,0,0,0,1,1,10,N
3,4,69,0,4,9,49,13,0,0,0,4,2,25,71,0,0,0,0,0,0,0,0,0,0,14,N
2,9,71,0,4,6,46,16,0,0,0,2,1,24,65,0,0,0,0,0,0,0,0,0,0,16,N
4,8,60,1,7,3,46,17,0,0,1,3,0,22,58,0,0,0,0,0,0,0,0,0,1,24,N
3,9,81,0,2,7,38,14,0,1,1,4,1,20,60,0,0,0,0,0,0,0,0,0,1,24,N
2,8,34,0,1,7,39,7,0,0,1,3,0,8,6,0,0,0,0,0,0,0,0,0,1,0,N
2,9,81,0,4,8,47,18,0,0,0,4,2,22,64,0,0,0,0,0,0,0,0,0,1,21,N
4,9,78,0,2,3,48,18,0,1,1,5,2,27,73,0,0,0,0,0,0,0,0,0,2,15,N
15,23,109,1,19,16,118,29,0,0,3,7,7,36,63,0,0,0,0,0,0,0,0,4,2,81,N
15,23,111,1,19,16,117,33,0,0,3,7,7,36,66,0,0,0,0,0,0,0,0,1,2,81,N
15,32,117,1,16,10,107,37,0,0,4,8,7,36,87,0,0,0,0,0,0,0,0,0,1,56,N
18,37,128,1,15,14,110,27,0,0,5,8,7,34,86,0,0,0,0,0,0,0,0,0,1,56,N
17,35,134,1,11,9,105,27,0,0,4,8,9,36,83,0,0,0,0,0,0,0,0,0,1,59,N
13,25,110,1,18,8,101,27,0,0,5,9,4,36,92,0,0,0,2,1,1,0,0,0,3,52,N
16,36,129,1,16,12,108,27,0,0,3,6,7,34,88,0,0,0,0,0,0,0,0,0,1,55,N
13,26,128,1,21,7,110,25,0,0,3,7,7,35,96,0,0,0,0,0,0,0,0,0,1,44,N
15,30,131,1,15,12,108,23,0,0,5,6,7,32,104,0,0,0,0,0,0,0,0,0,1,40,N
